near_fid;near_dist;utmx_vertice;utmy_vertice;id;localidade;forn_fa;talhao;utmx_point;utmy_point
8391;11,459275;232324,973272;7704626,225060;1;1001_1;1001;1;232314,197;7704625,944
8391;53,951736;231800,856716;7703889,376150;2;1001_10;1001;10;231834,506;7703846,349
8391;440,097172;231800,856672;7703686,520780;3;1001_12;1001;12;232241,857;7703686,239
8391;5,264874;231787,294422;7703161,436490;4;1001_15;1001;15;231787,983;7703155,888
8243;232,200104;232092,032577;7702375,261660;5;1001_27;1001;27;232272,279;7702522,386
8391;46,348241;231742,621547;7702608,202350;6;1001_30;1001;30;231764,323;7702649,258
8391;474,466728;232819,972249;7703248,789250;7;1001_49;1001;49;232350,886;7703316,686
8391;19,114047;231917,327047;7704502,134070;8;1001_6;1001;6;231937,139;7704501,853
7964;211,996988;228568,804621;7708635,542720;9;1002_10;1002;10;228369,318;7708705,394
7964;45,421453;227666,159426;7708096,028130;10;1002_12;1002;12;227712,293;7708095,747
7964;336,036205;228597,922203;7707558,192030;11;1002_15;1002;15;228307,162;7707390,300
7964;253,631897;228627,039795;7706859,369970;12;1002_18;1002;18;228461,671;7706667,204
7964;284,811245;227520,571505;7707296,133760;13;1002_20;1002;20;227799,623;7707356,807
7964;39,284254;228889,098080;7709392,599970;14;1002_8;1002;8;228902,713;7709355,201
7082;315,432839;226215,683979;7713381,709300;15;1003_11;1003;11;226216,373;7713697,027
6913;42,583434;225598,810811;7714342,589650;16;1003_14;1003;14;225620,812;7714305,416
6860;26,693396;226297,632889;7714956,232230;17;1003_16;1003;16;226325,029;7714955,951
6860;215,816662;226855,870169;7715332,587590;18;1003_8;1003;8;226856,559;7715116,377
7082;128,149260;226152,044948;7713119,651020;19;1004_3;1004;3;226231,337;7713018,073
7249;248,770473;226879,984609;7712886,710330;20;1004_4;1004;4;226850,864;7713133,538
8541;178,892072;248753,862760;7714226,119280;21;1005_14;1005;14;248754,551;7714046,878
7029;208,046261;248863,762462;7713469,062030;22;1005_18;1005;18;248731,786;7713308,418
8541;164,884611;249504,349363;7713207,003760;23;1005_21;1005;21;249427,832;7713352,485
8541;196,255597;249620,819712;7712741,122370;24;1005_24;1005;24;249488,653;7712596,291
8541;14,550999;251396,992495;7712624,652030;25;1005_27;1005;27;251385,863;7712615,872
8541;49,304992;251434,405913;7712187,888230;26;1005_28;1005;28;251435,094;7712236,930
7261;154,451768;250144,936267;7712071,417890;27;1005_36;1005;36;249994,191;7712101,813
8541;30,262793;250140,143881;7712682,887210;28;1005_38;1005;38;250140,832;7712652,332
8674;99,489153;228394,099084;7698852,033720;29;1008_2;1008;2;228443,598;7698938,504
8674;330,648749;229122,038744;7698619,093030;30;1008_4;1008;4;229105,936;7698949,202
8674;85,664917;229005,568405;7698240,564400;31;1008_8;1008;8;229085,102;7698273,890
8391;26,972284;230285,736392;7707499,956860;32;1010_18;1010;18;230286,425;7707472,690
7996;181,352167;230170,271880;7705869,372030;33;1010_34;1010;34;230298,110;7705998,530
8010;94,682975;230315,859813;7705403,490640;34;1010_38;1010;38;230328,983;7705309,299
8391;444,774493;230024,683942;7707063,193060;35;1010_8;1010;8;230306,437;7706717,912
8409;425,817669;228044,688055;7700016,737170;36;1022_15;1022;15;228350,066;7699718,679
8455;445,827029;229675,272897;7699812,914070;37;1022_60;1022;60;229269,498;7699628,922
7487;442,177968;229354,979453;7710922,797210;38;1023_1;1023;1;228913,266;7710922,516
7469;106,733733;230344,977407;7710944,023170;39;1023_15;1023;15;230238,879;7710943,742
7487;34,929640;229587,920158;7710942,618170;40;1023_17;1023;17;229623,556;7710942,337
7469;300,996621;230607,035682;7711023,184800;41;1023_19;1023;19;230896,022;7710935,879
7964;460,294223;228889,098076;7709829,363760;42;1023_2;1023;2;228899,614;7710289,506
7469;336,657508;230519,682925;7710586,421010;43;1023_20;1023;20;230818,752;7710429,871
7469;138,514924;230170,271888;7710324,362740;44;1023_21;1023;21;230252,552;7710212,062
7964;88,659491;228306,746341;7709421,717560;45;1023_29;1023;29;228273,129;7709503,239
7487;56,508221;229587,920085;7710211,360160;46;1023_33;1023;33;229532,072;7710211,079
8176;61,209312;229704,390490;7705963,019100;47;1024_21;1024;21;229643,839;7705962,738
7964;102,119122;228918,215658;7706626,429270;48;1024_4;1024;4;228888,625;7706528,567
7964;32,111918;229500,567386;7706655,546850;49;1024_5;1024;5;229476,312;7706635,017
8055;17,825993;228947,333244;7705345,255470;50;1024_6;1024;6;228959,026;7705359,010
8391;332,694347;231218,504996;7707558,192030;51;1026_1;1026;1;230918,430;7707415,306
8391;580,274595;231451,445681;7704966,726850;52;1026_11;1026;11;230991,564;7705319,894
8391;202,100454;231859,091899;7705141,432370;53;1026_14;1026;14;231722,248;7705289,372
7954;2,118381;232354,090847;7706075,858090;54;1026_18;1026;18;232352,660;7706075,577
8391;268,109470;231160,269817;7706626,429270;55;1026_4;1026;4;230919,249;7706742,468
8391;5,932956;230985,564302;7706024,479080;56;1026_8;1026;8;230980,317;7706024,198
8391;490,574477;229908,213596;7707674,662380;57;1027_12;1027;12;229629,754;7708078,091
8391;221,507813;230315,859818;7707907,603070;58;1027_14;1027;14;230283,905;7708126,523
7964;38,075828;228947,333193;7708116,545140;59;1027_5;1027;5;228986,117;7708116,264
7964;40,800885;228918,215655;7707354,368930;60;1027_6;1027;6;228952,354;7707377,487
7829;62,509583;229646,155323;7707383,486510;61;1027_8;1027;8;229618,178;7707438,790
8391;92,289572;237071,139887;7707412,604090;62;1028_1;1028;1;237109,356;7707496,684
7951;35,241591;237420,550925;7705956,724770;63;1028_14;1028;14;237395,014;7705980,009
7873;507,562033;237566,138860;7706975,840300;64;1028_2;1028;2;237630,834;7707479,300
7860;124,814088;238323,196110;7706946,722710;65;1028_6;1028;6;238246,585;7706848,374
7873;90,453750;237537,021270;7706830,252360;66;1028_9;1028;9;237622,245;7706797,675
8167;356,667241;227986,452883;7705927,607210;67;1030_3;1030;3;228335,445;7706004,959
8167;367,181126;228015,570468;7705287,020310;68;1030_33;1030;33;228381,404;7705246,371
8391;552,323094;231480,563264;7703860,258570;69;1031_23;1031;23;230945,290;7703994,538
8391;461,411846;231014,681879;7702549,967180;70;1031_24;1031;24;230982,847;7703010,179
8228;577,827047;229849,978416;7702928,495810;71;1031_25;1031;25;230362,827;7703196,376
8391;50,579044;230956,446708;7702491,732010;72;1031_28;1031;28;230934,875;7702536,896
8228;469,719218;229879,096000;7702433,496840;73;1031_29;1031;29;230344,812;7702501,087
8391;34,634459;234363,204295;7703297,707060;74;1032_14;1032;14;234329,242;7703297,426
8314;75,659372;233780,852602;7701414,381310;75;1032_146;1032;146;233834,125;7701359,651
8391;9,841733;233809,970190;7701938,497860;76;1032_147;1032;147;233819,096;7701933,141
8286;433,383054;234654,380195;7701501,734070;77;1032_151;1032;151;234370,713;7701174,131
8260;0,000000;234420,678484;7702613,672030;78;1032_156;1032;156;234421,367;7702613,391
8286;224,661483;234887,320890;7701705,557170;79;1032_158;1032;158;235036,127;7701874,336
8208;209,968218;234916,438474;7702753,790280;80;1032_162;1032;162;235011,349;7702565,759
